Bank Name,"City, State",Date,Assets,Assets (adj.),Acquirer
First NBC Bank,"New Orleans, LA",2017-04-28,4740,5862.895362371109,"Whitney Bank has agreed to assume the transactional deposits (approximately $1.6 billion), and to purchase approximately $1 billion of the failed bank's assets. The FDIC mailed checks for the time deposits (CDs and IRAs) and retained the remaining assets for later disposition."
Proficio Bank,"Cottonwood Heights, UT",2017-03-03,68.2,84.39516507306513,Cache Valley Bank has agreed to assume all deposits.
Seaway Bank and Trust Company,"Chicago, IL",2017-01-27,361.2,446.7638074473578,State Bank of Texas has agreed to assume all deposits.
Harvest Community Bank,"Pennsville, NJ",2017-01-13,126.4,156.59159503813348,First-Citizens Bank & Trust Company has agreed to assume all deposits.
Allied Bank,"Mulberry, AR",2016-09-23,66.3,82.77400358234638,Today's Bank has agreed to assume all deposits.
The Woodbury Banking Company,"Woodbury, GA",2016-08-19,21.4,26.779991375592928,United Bank has agreed to assume all deposits.
First CornerStone Bank,"King of Prussia, PA",2016-05-06,103.3,130.1434163894188,First-Citizens Bank & Trust Company has agreed to assume all deposits.
Trust Company Bank,"Memphis, TN",2016-04-29,20.7,26.079077630793503,The Bank of Fayette County has agreed to assume all deposits.
North Milwaukee State Bank,"Milwaukee, WI",2016-03-11,67.1,85.06097446236558,First-Citizens Bank & Trust Company has agreed to assume all deposits excluding certain brokered deposits.
Hometown National Bank,"Longview, WA",2015-10-02,4.9,6.220672771554644,Twin City Bank has agreed to assume all deposits.
The Bank of Georgia,"Peachtree City, GA",2015-10-02,294.2,373.4942713043624,Fidelity Bank has agreed to assume all deposits.
Premier Bank,"Denver, CO",2015-07-10,31.7,40.19305477368779,"United Fidelity Bank, fsb has agreed to assume all deposits."
Edgebrook Bank,"Chicago, IL",2015-05-08,90,114.61014932426444,Republic Bank of Chicago has agreed to assume all deposits.
Doral Bank,"San Juan, PR",2015-02-27,5900,7545.967386513882,"Banco Popular de Puerto Rico, Hato Rey, PR has agreed to accept all deposits. Banco Popular de Puerto Rico, entered into separate agreements to transfer deposits and assets in specific markets to Banco Popular North America, New York, NY, FirstBank Puerto Rico, Santurce, PR, and Centennial Bank, Conway, AR."
Capitol City Bank & Trust Company,"Atlanta, GA",2015-02-13,272.3,349.20379022868843,First-Citizens Bank & Trust Company has agreed to assume all deposits.
Highland Community Bank,"Chicago, IL",2015-01-23,54.7,70.14853957219705,"United Fidelity Bank, fsb has agreed to assume all deposits."
First National Bank of Crestview,"Crestview, FL",2015-01-16,79.7,102.4681789330641,First NBC Bank has agreed to assume all deposits.
Northern Star Bank,"Mankato, MN",2014-12-19,18.8,24.17066203188965,BankVista has agreed to assume all deposits.
Frontier Bank,"FSB, D/B/A El Paseo Bank, Palm Desert, CA",2014-11-07,86.4,110.03410033631106,"Bank of Southern California, N.A. has agreed to assume all deposits."
The National Republic Bank of Chicago,"Chicago, IL",2014-10-24,954.4,1215.4692750112877,State Bank of Texas has agreed to assume all deposits excluding certain brokered deposits.
NBRS Financial,"Rising Sun, MD",2014-10-17,188.2,239.68076022330715,Howard Bank has agreed to assume all deposits.
GreenChoice Bank,"fsb, Chicago, IL",2014-07-25,72.9,92.65477638339088,"Providence Bank, LLC has agreed to assume all deposits."
Eastside Commercial Bank,"Conyers, GA",2014-07-18,169,214.7963951823465,Community & Southern Bank has agreed to assume all deposits.
The Freedom State Bank,"Freedom, OK",2014-06-27,22.8,28.973811989995706,Alva State Bank & Trust Company has agreed to assume all deposits.
Valley Bank,"Fort Lauderdale, FL",2014-06-20,81.8,103.94990442024775,"Landmark Bank, National Association has agreed to assume all deposits."
Valley Bank,"Moline, IL",2014-06-20,456.4,579.9845522909666,Great Southern Bank has agreed to assume all deposits.
Slavie Federal Savings Bank,"Bel Air, MD",2014-05-30,140.1,178.23682739608228,"Bay Bank, FSB has agreed to assume all deposits."
Columbia Savings Bank,"Cincinnati, OH",2014-05-23,36.5,46.435718771998594,"United Fidelity Bank, fsb has agreed to assume all deposits."
AztecAmerica Bank,"Berwyn, IL",2014-05-16,66.3,84.45905503169872,Republic Bank of Chicago has agreed to assume all deposits.
Allendale County Bank,"Fairfax, SC",2014-04-25,54.5,69.42712668518222,Palmetto State Bank has agreed to assume all deposits.
Vantage Point Bank,"Horsham, PA",2014-02-28,63.5,81.19717999559374,First Choice Bank has agreed to assume all deposits.
Millennium Bank,"National Association, Sterling, VA",2014-02-28,130.3,166.61405595946246,WashingtonFirst Bank has agreed to assume all deposits.
Syringa Bank,"Boise, ID",2014-01-31,153.4,196.5524808212374,Sunwest Bank has agreed to assume all deposits excluding certain brokered deposits.
The Bank of Union,"El Reno, OK",2014-01-24,331.4,424.6251117611347,BancFirst has agreed to assume all deposits excluding certain brokered deposits.
DuPage National Bank,"West Chicago, IL",2014-01-17,61.7,79.05663667972847,Republic Bank of Chicago has agreed to assume all deposits.
Texas Community Bank,"National Association, The Woodlands, TX",2013-12-13,160.1,205.860883865388,"Spirit of Texas Bank, SSB has agreed to assume all deposits."
Bank of Jackson County,"Graceville, FL",2013-10-30,25.5,32.87528406663819,First Federal Bank of Florida has agreed to assume all deposits.
First National Bank,"Edinburg, TX",2013-09-13,3100,4006.1179049772204,PlainsCapital Bank has agreed to assume all deposits.
The Community's Bank,"Bridgeport, CT",2013-09-13,26.3,33.987387387387386,The FDIC has approved the payout of the insured deposits of The Community's Bank.
Sunrise Bank of Arizona,"Phoenix, AZ",2013-08-23,202.2,261.3022710923851,"First Fidelity Bank, National Association has agreed to assume all deposits."
Community South Bank,"Parsons, TN",2013-08-23,386.9,499.9893604631246,"CB&S Bank, Inc. has agreed to assume all deposits and $121.7 million of the assets."
Bank of Wausau,"Wausau, WI",2013-08-09,43.6,56.36534850250155,Nicolet National Bank has agreed to assume all deposits.
First Community Bank of Southwest Florida,"Fort Myers, FL, also operating as Community Bank of Cape Coral, Cape Coral, FL",2013-08-02,265.7,343.49250222740045,C1 Bank has agreed to assume all deposits.
Mountain National Bank,"Sevierville, TN",2013-06-07,437.3,567.7929764030201,"First Tennessee Bank, National Association has agreed to assume all deposits excluding certain brokered deposits."
1st Commerce Bank,"North Las Vegas, NV",2013-06-06,20.2,26.22780270601648,Plaza Bank has agreed to assume all deposits.
Banks of Wisconsin,"which did business as Bank of Kenosha, Kenosha, WI",2013-05-31,134,173.98641399040633,"North Shore Bank, FSB has agreed to assume all deposits excluding certain brokered deposits."
Central Arizona Bank,"Scottsdale, AZ",2013-05-14,31.6,41.1272992285235,Western State Bank has agreed to assume all deposits.
Sunrise Bank,"Valdosta, GA",2013-05-10,60.8,79.13100611057685,Synovus Bank has agreed to assume all deposits.
Pisgah Community Bank,"Asheville, NC",2013-05-10,21.9,28.502780161540016,"Capital Bank, N.A. has agreed to assume all deposits."
Douglas County Bank,"Douglasville, GA",2013-04-26,316.5,411.9237406907496,Hamilton State Bank has agreed to assume all deposits.
Parkway Bank,"Lenoir, NC",2013-04-26,108.6,141.3425536777738,"CertusBank, National Association has agreed to assume all deposits."
Chipola Community Bank,"Marianna, FL",2013-04-19,39.2,51.01867499234561,First Federal Bank of Florida has agreed to assume all deposits.
Heritage Bank of North Florida,"Orange Park, FL",2013-04-19,110.9,144.33599634314103,FirstAtlantic Bank has agreed to assume all deposits.
First Federal Bank,"Lexington, KY",2013-04-19,100.1,130.2798307840254,Your Community Bank has agreed to assume all deposits.
Gold Canyon Bank,"Gold Canyon, AZ",2013-04-05,45.2,58.852019655129276,"First Scottsdale Bank, National Association, has agreed to assume all deposits."
Frontier Bank,"LaGrange, GA",2013-03-08,258.8,336.26329375500467,HeritageBank of the South has agreed to assume all deposits.
Covenant Bank,"Chicago, IL",2013-02-15,58.4,75.88012502044927,Liberty Bank and Trust Company has agreed to assume all deposits excluding certain brokered deposits.
1st Regents Bank,"Andover, MN",2013-01-18,50.2,65.04231444553677,First Minnesota Bank has agreed to assume all deposits.
Westside Community Bank,"University Place, WA",2013-01-11,97.7,127.27369161641755,Sunwest Bank has agreed to assume all deposits.
Community Bank of the Ozarks,"Sunrise Beach, MO",2012-12-14,42.8,55.86595681188127,Bank of Sullivan has agreed to assume all deposits.
Hometown Community Bank,"Braselton, GA",2012-11-16,124.6,162.6378088495422,"CertusBank, National Association has agreed to assume all deposits."
Citizens First National Bank,"Princeton, IL",2012-11-02,924,1205.9320991658342,Heartland Bank and Trust Company has agreed to assume all deposits.
Heritage Bank of Florida,"Lutz, FL",2012-11-02,225.5,294.3048575345191,Centennial Bank has agreed to assume all deposits.
NOVA Bank,"Berwyn, PA",2012-10-26,483,630.3735972912316,The FDIC has approved the payout of the insured deposits of NOVA Bank.
Excel Bank,"Sedalia, MO",2012-10-19,200.6,261.8073366803748,Simmons First National Bank has agreed to assume all deposits.
First East Side Savings Bank,"Tamarac, FL",2012-10-19,67.2,87.70415266660613,"Stearns Bank National Association, has agreed to assume all deposits."
GulfSouth Private Bank,"Destin, FL",2012-10-19,159.1,207.64480192346778,SmartBank has agreed to assume all deposits.
First United Bank,"Crete, IL",2012-09-28,328.4,427.8820711627625,"Old Plank Trail Community Bank, National Association has agreed to assume all deposits."
Truman Bank,"Saint Louis, MO",2012-09-14,282.3,368.80894487370955,Simmons First National Bank has agreed to assume all deposits excluding certain brokered deposits.
First Commercial Bank,"Bloomington, MN",2012-09-07,215.9,282.0611094517672,Republic Bank & Trust Company has agreed to assume all deposits.
Waukegan Savings Bank,"Waukegan, IL",2012-08-03,88.9,116.69695804591203,First Midwest Bank has agreed to assume all deposits.
Jasper Banking Company,"Jasper, GA",2012-07-27,216.7,284.45703946624445,"Stearns Bank National Association, has agreed to assume all deposits excluding certain brokered deposits."
Second Federal Savings and Loan Association of Chicago,"Chicago, IL",2012-07-20,199.1,261.3539296618794,Hinsdale Bank & Trust Company has agreed to assume all deposits.
Heartland Bank,"Leawood, KS",2012-07-20,110,144.39443627728147,Metcalf Bank has agreed to assume all deposits.
First Cherokee State Bank,"Woodstock, GA",2012-07-20,222.7,292.33309962682347,Community & Southern Bank has agreed to assume all deposits.
Georgia Trust Bank,"Buford, GA",2012-07-20,119.8,157.25866787289382,Community & Southern Bank has agreed to assume all deposits excluding certain brokered deposits.
The Royal Palm Bank of Florida,"Naples, FL",2012-07-20,87,114.20287232839534,First National Bank of the Gulf Coast has agreed to assume all deposits.
Glasgow Savings Bank,"Glasgow, MO",2012-07-13,24.8,32.74350759000831,Regional Missouri Bank has agreed to assume all deposits.
Montgomery Bank & Trust,"Ailey, GA",2012-07-06,173.6,229.20455313005814,Ameris Bank has agreed to assume all deposits excluding certain brokered deposits.
The Farmers Bank of Lynchburg,"Lynchburg, TN",2012-06-15,163.9,216.4601144737533,Clayton Bank and Trust has agreed to assume all deposits.
Security Exchange Bank,"Marietta, GA",2012-06-15,151,199.42329033274405,Fidelity Bank has agreed to assume all deposits.
Putnam State Bank,"Palatka, FL",2012-06-15,169.5,223.85594510861003,Harbor Community Bank has agreed to assume all deposits.
Waccamaw Bank,"Whiteville, NC",2012-06-08,533.1,704.0566627575222,First Community Bank has agreed to assume all deposits excluding certain brokered deposits.
Farmers and Traders State Bank,"Shabbona, IL",2012-06-08,43.1,56.92148220755807,First State Bank has agreed to assume all deposits.
Carolina Federal Savings Bank,"Charleston, SC",2012-06-08,54.4,71.8452118814654,Bank of North Carolina has agreed to assume all deposits.
First Capital Bank,"Kingfisher, OK",2012-06-08,46.1,60.88353433337418,F & M Bank has agreed to assume all deposits.
Alabama Trust Bank,"National Association, Sylacauga, AL",2012-05-18,51.6,68.14729656403703,Southern States Bank has agreed to assume all deposits excluding certain brokered deposits.
Security Bank,"National Association, North Lauderdale, FL",2012-05-04,101,133.27886040583613,Banesco USA has agreed to assume all deposits.
Palm Desert National Bank,"Palm Desert, CA",2012-04-27,125.8,166.00475880251668,Pacific Premier Bank has agreed to assume all deposits excluding certain brokered deposits.
Plantation Federal Bank,"Pawleys Island, SC",2012-04-27,486.4,641.8498782316702,First Federal Bank has agreed to assume all deposits.
Inter Savings Bank,"fsb D/B/A InterBank, fsb, Maple Grove, MN",2012-04-27,481.6,635.5158333806999,Great Southern Bank has agreed to assume all deposits.
HarVest Bank of Maryland,"Gaithersburg, MD",2012-04-27,164.3,216.80907687800868,Sonabank has agreed to assume all deposits.
Bank of the Eastern Shore,"Cambridge, MD",2012-04-27,166.7,219.97609930349387,"To protect the insured depositors, the FDIC created the Deposit Insurance National Bank (DINB) of Eastern Shore, Cambridge, MD which will remain open until May 25, 2012."
Fort Lee Federal Savings Bank,"FSB, Fort Lee, NJ",2012-04-20,51.9,68.48685995111776,Alma Bank has agreed to assume all deposits.
Fidelity Bank,"Dearborn, MI",2012-03-30,818.2,1077.4577336410878,The Huntington National Bank has agreed to assume all deposits.
Premier Bank,"Wilmette, IL",2012-03-23,268.7,353.84122834192164,International Bank of Chicago has agreed to assume all deposits.
Covenant Bank & Trust,"Rock Spring, GA",2012-03-23,95.7,126.0238390484626,"Stearns Bank National Association, has agreed to assume all deposits."
New City Bank,"Chicago, IL",2012-03-09,71.2,93.91639941085718,The FDIC has approved the payout of the insured deposits of New City Bank.
Global Commerce Bank,"Doraville, GA",2012-03-02,143.7,189.5475645412946,Metro City Bank has agreed to assume all deposits.
Home Savings of America,"Little Falls, MN",2012-02-24,434.1,572.5998452844537,The FDIC has approved the payout of the insured deposits of Home Savings of America.
Central Bank of Georgia,"Ellaville, GA",2012-02-24,278.9,367.8831993776414,Ameris Bank has agreed to assume all deposits.
SCB Bank,"Shelbyville, IN",2012-02-10,182.6,241.36286148496248,"First Merchants Bank, National Association has agreed to assume all deposits excluding certain brokered deposits."
Charter National Bank and Trust,"Hoffman Estates, IL",2012-02-10,93.9,124.11814180415102,"Barrington Bank & Trust Company, National Association has agreed to assume all deposits."
BankEast,"Knoxville, TN",2012-01-27,272.6,360.32593669660884,"U.S. Bank National Association, has agreed to assume all deposits."
Patriot Bank Minnesota,"Forest Lake, MN",2012-01-27,111.3,147.11766967840265,First Resource Bank has agreed to assume all deposits.
Tennessee Commerce Bank,"Franklin, TN",2012-01-27,1185,1566.3471569533435,Republic Bank & Trust Company has agreed to assume all deposits excluding certain brokered deposits.
First Guaranty Bank and Trust Company of Jacksonville,"Jacksonville, FL",2012-01-27,377.9,499.512734694235,"CenterState Bank of Florida, National Association has agreed to assume all deposits excluding certain brokered deposits."
American Eagle Savings Bank,"Boothwyn, PA",2012-01-20,19.6,25.907514157202982,"Capital Bank, National Association, has agreed to assume all deposits excluding certain brokered deposits."
The First State Bank,"Stockbridge, GA",2012-01-20,536.9,709.6808342348103,Hamilton State Bank has agreed to assume all deposits excluding certain brokered deposits.
Central Florida State Bank,"Belleview, FL",2012-01-20,79.1,104.55532499156917,"CenterState Bank of Florida, National Association, has agreed to assume all deposits excluding certain brokered deposits."
Western National Bank,"Phoenix, AZ",2011-12-16,162.9,216.37124410821087,"Washington Federal, Seattle, WA has agreed to assume all deposits excluding certain brokered deposits."
Premier Community Bank of the Emerald Coast,"Crestview, FL",2011-12-16,126,167.35897334336752,"Summit Bank, National Association, Panama City, FL has agreed to assume all deposits."
Central Progressive Bank,"Lacombe, LA",2011-11-18,383.1,508.85097371304846,"First NBC Bank, New Orleans, LA has agreed to assume all deposits."
Polk County Bank,"Johnston, IA",2011-11-18,91.6,121.66731712898782,"Grinnell State Bank, Grinnell, IA has agreed to assume all deposits."
Community Bank of Rockmart,"Rockmart, GA",2011-11-10,62.4,82.90224106282106,"Century Bank of Georgia, Cartersville, GA has agreed to assume all deposits excluding certain brokered deposits."
SunFirst Bank,"Saint George, UT",2011-11-04,198.1,263.188044143347,"Cache Valley Bank, Logan, UT has agreed to assume all deposits excluding certain brokered deposits."
Mid City Bank,"Inc., Omaha, NE",2011-11-04,106.1,140.96038103790568,"Premier Bank (formerly Purdum State Bank), Purdum, NE has agreed to assume all deposits."
All American Bank,"Des Plaines, IL",2011-10-28,37.8,50.21962679767045,"International Bank of Chicago, Chicago, IL has agreed to assume all deposits."
Community Banks of Colorado,"Greenwood Village, CO",2011-10-21,1380,1833.41494658162,"Bank Midwest, National Association, Kansas City, MO has agreed to assume all deposits excluding certain brokered deposits."
Community Capital Bank,"Jonesboro, GA",2011-10-21,181.2,240.73535385549962,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits."
Decatur First Bank,"Decatur, GA",2011-10-21,191.5,254.4195378770871,"Fidelity Bank, Atlanta, GA has agreed to assume all deposits."
Old Harbor Bank,"Clearwater, FL",2011-10-21,215.9,286.83643983113893,"1st United Bank, Boca Raton, FL has agreed to assume all deposits."
Country Bank,"Aledo, IL",2011-10-14,190.6,253.69175214994485,"Blackhawk Bank & Trust, Milan, IL has agreed to assume all deposits excluding certain brokered deposits."
First State Bank,"Cranford, NJ",2011-10-14,204.4,272.05978037486216,"Northfield Bank, Staten Island, NY has agreed to assume all deposits."
Blue Ridge Savings Bank,"Inc., Asheville, NC",2011-10-14,161,214.29366262403525,"Bank of North Carolina, Thomasville, NC has agreed to assume all deposits."
Piedmont Community Bank,"Gray, GA",2011-10-14,201.7,268.46603572216094,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits."
Sun Security Bank,"Ellington, MO",2011-10-07,355.9,473.7087858875413,"Great Southern Bank, Springfield, MO has agreed to assume all deposits."
The RiverBank,"Wyoming, MN",2011-10-07,417.4,555.5663029768467,"Central Bank, Stillwater, MN has agreed to assume all deposits."
First International Bank,"Plano, TX",2011-09-30,239.9,319.31086747519294,"American First National Bank, Houston, TX has agreed to assume all deposits."
Citizens Bank of Northern California,"Nevada City, CA",2011-09-23,288.8,384.397576185226,"Tri Counties Bank, Chico, CA has agreed to assume all deposits."
Bank of the Commonwealth,"Norfolk, VA",2011-09-23,985.1,1311.1843916207276,"Southern Bank and Trust Company, Mount Olive, NC has agreed to assume all deposits excluding certain brokered deposits."
The First National Bank Of Florida,"Milton, FL",2011-09-09,296.8,395.3124463254147,"CharterBank, West Point, GA has agreed to assume all deposits."
CreekSide Bank,"Woodstock, GA",2011-09-02,102.3,136.2549301182275,"Georgia Commerce Bank, Atlanta, GA has agreed to assume all deposits."
Patriot Bank of Georgia,"Cumming, GA",2011-09-02,150.8,200.8528197637215,"Georgia Commerce Bank, Atlanta, GA has agreed to assume all deposits."
First Choice Bank,"Geneva, IL",2011-08-19,141,187.80005030958043,"Inland Bank & Trust, Oak Brook, IL has agreed to assume all deposits excluding certain brokered deposits."
First Southern National Bank,"Statesboro, GA",2011-08-19,164.6,219.23325021955276,"Heritage Bank of the South, Albany, GA has agreed to assume all deposits excluding certain brokered deposits."
Lydian Private Bank,"Palm Beach, FL",2011-08-19,1700,2264.2559257183457,"Sabadell United Bank, National Association, Miami, FL has agreed to assume all deposits."
Public Savings Bank,"Huntingdon Valley, PA",2011-08-18,46.8,62.33363371977563,"Capital Bank, National Association, Rockville, MD has agreed to assume all deposits excluding certain brokered deposits."
The First National Bank of Olathe,"Olathe, KS",2011-08-12,538.1,718.2599524117007,"Enterprise Bank & Trust, Clayton, MO has agreed to assume all deposits excluding certain brokered deposits."
Bank of Whitman,"Colfax, WA",2011-08-05,548.6,732.2754318770843,"Columbia State Bank, Tacoma, WA has agreed to assume all deposits excluding certain brokered deposits."
Bank of Shorewood,"Shorewood, IL",2011-08-05,110.7,147.76319779218596,"Heartland Bank and Trust Company, Bloomington, IL has agreed to assume all deposits."
Integra Bank National Association,"Evansville, IN",2011-07-29,2200,2936.5766498898747,"Old National Bank, Evansville, IN has agreed to assume all deposits excluding certain brokered deposits."
BankMeridian,"National Association, Columbia, SC",2011-07-29,239.8,320.0868548379964,"SCBT, National Association, Orangeburg, SC has agreed to assume all deposits excluding certain brokered deposits."
Virginia Business Bank,"Richmond, VA",2011-07-29,95.8,127.87456502702273,"Xenith Bank, Richmond, VA has agreed to assume all deposits."
Bank of Choice,"Greeley, CO",2011-07-22,1070,1428.2440979009846,"Bank Midwest, National Association, Kansas City, MO has agreed to assume all deposits excluding certain brokered deposits."
LandMark Bank of Florida,"Sarasota, FL",2011-07-22,275,367.07208123623434,"American Momentum Bank, Tampa, FL has agreed to assume all deposits."
Southshore Community Bank,"Apollo Beach, FL",2011-07-22,46.3,61.801590404500544,"American Momentum Bank, Tampa, FL has agreed to assume all deposits."
Summit Bank,"Prescott, AZ",2011-07-15,72,96.40930810355154,"The Foothills Bank, Yuma, AZ has agreed to assume all deposits."
First Peoples Bank,"Port St. Lucie, FL",2011-07-15,228.3,305.6978477783447,"Premier American Bank, National Association, Miami, FL has agreed to assume all deposits excluding certain brokered deposits."
High Trust Bank,"Stockbridge, GA",2011-07-15,192.5,257.7609973601899,"Ameris Bank, Moultrie, GA has agreed to assume all deposits."
One Georgia Bank,"Atlanta, GA",2011-07-15,186.3,249.45908471793962,"Ameris Bank, Moultrie, GA has agreed to assume all deposits excluding certain brokered deposits."
Signature Bank,"Windsor, CO",2011-07-08,66.7,89.31251181259567,"Points West Community Bank, Julesburg, CO has agreed to assume all deposits."
Colorado Capital Bank,"Castle Rock, CO",2011-07-08,717.5,960.7455356152532,"First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits excluding certain brokered deposits."
First Chicago Bank & Trust,"Chicago, IL",2011-07-08,959.3,1284.5201286630138,"Northbrook Bank & Trust Company, Northbrook, IL has agreed to assume all deposits excluding certain brokered deposits."
Mountain Heritage Bank,"Clayton, GA",2011-06-24,103.7,138.8561840324763,"First American Bank and Trust Company, Athens, GA has agreed to assume all deposits excluding certain brokered deposits."
First Commercial Bank of Tampa Bay,"Tampa, FL",2011-06-17,98.6,132.0271913751414,"Stonegate Bank, Fort Lauderdale, FL has agreed to assume all deposits excluding certain brokered deposits."
McIntosh State Bank,"Jackson, GA",2011-06-17,339.9,455.1322753388495,"Hamilton State Bank, Hoschton, GA has agreed to assume all deposits."
Atlantic Bank and Trust,"Charleston, SC",2011-06-03,208.2,279.5140058539363,"First Citizens Bank and Trust Company, Inc., Columbia, SC has agreed to assume all deposits."
First Heritage Bank,"Snohomish, WA",2011-05-27,173.5,232.92833821161358,"Columbia State Bank, Tacoma, WA has agreed to assume all deposits."
Summit Bank,"Burlington, WA",2011-05-20,142.7,191.5785237048833,"Columbia State Bank, Tacoma, WA has agreed to assume all deposits excluding certain brokered deposits."
First Georgia Banking Company,"Franklin, GA",2011-05-20,731,981.3868313123315,"CertusBank, National Association, Easley, SC has agreed to assume all deposits excluding certain brokered deposits."
Atlantic Southern Bank,"Macon, GA",2011-05-20,741.9,996.02036956309,"CertusBank, National Association, Easley, SC has agreed to assume all deposits excluding certain brokered deposits."
Coastal Bank,"Cocoa Beach, FL",2011-05-06,129.4,173.722921986068,"Florida Community Bank, a division of Premier American Bank, National Association, Miami, FL has agreed to assume all deposits."
Community Central Bank,"Mount Clemens, MI",2011-04-29,476.3,639.4453457647928,"Talmer Bank & Trust, Troy, MI has agreed to assume all deposits excluding certain brokered deposits."
The Park Avenue Bank,"Valdosta, GA",2011-04-29,953.3,1279.830460041102,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits excluding certain brokered deposits."
First Choice Community Bank,"Dallas, GA",2011-04-29,308.5,414.1694082898143,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits excluding certain brokered deposits."
Cortez Community Bank,"Brooksville, FL",2011-04-29,70.9,95.185124952181,"Florida Community Bank, a division of Premier American Bank, National Association, Miami, FL has agreed to assume all deposits excluding certain brokered deposits."
First National Bank of Central Florida,"Winter Park, FL",2011-04-29,352,472.56930864834567,"Florida Community Bank, a division of Premier American Bank, National Association, Miami, FL has agreed to assume all deposits excluding certain brokered deposits."
Heritage Banking Group,"Carthage, MS",2011-04-15,224,301.68274778774884,"Trustmark National Bank, Jackson, MS has agreed to assume all deposits."
Rosemount National Bank,"Rosemount, MN",2011-04-15,37.6,50.63960409294356,"Central Bank, Stillwater, MN has agreed to assume all deposits."
Superior Bank,"Birmingham, AL",2011-04-15,3000,4040.3939435859215,"Superior Bank, National Association, Birmingham, AL has agreed to assume all deposits excluding certain brokered deposits."
Nexity Bank,"Birmingham, AL",2011-04-15,793.7,1068.9535576747155,"All-star Bank of Commerce, Birmingham, AL has agreed to assume all deposits excluding certain brokered deposits."
New Horizons Bank,"East Ellijay, GA",2011-04-15,110.7,149.0905365183205,"Citizens South Bank, Gastonia, NC has agreed to assume all deposits excluding certain brokered deposits."
Bartow County Bank,"Cartersville, GA",2011-04-15,330.2,444.71269339069045,"Hamilton State Bank, Hoschton, GA has agreed to assume all deposits."
Nevada Commerce Bank,"Las Vegas, NV",2011-04-08,144.9,195.15102747520004,"City National Bank, Los Angeles, CA has agreed to assume all deposits excluding certain brokered deposits."
Western Springs National Bank and Trust,"Western Springs, IL",2011-04-08,186.8,251.58186288728342,"Heartland Bank and Trust Company, Bloomington, IL has agreed to assume all deposits."
The Bank of Commerce,"Wood Dale, IL",2011-03-25,163.1,219.6627507329546,"Advantage National Bank Group, Elk Grove Village, IL has agreed to assume all deposits."
Legacy Bank,"Milwaukee, WI",2011-03-11,190.4,257.63404499520277,"Seaway Bank and Trust Company, Chicago, IL has agreed to assume all deposits excluding certain brokered deposits."
