date,New York,San Francisco
2012-02-14T05:00Z,39.6,48.6
2012-02-15T05:00Z,42.3,49.9
2012-02-16T05:00Z,39.7,52.4
2012-02-17T05:00Z,46,49.9
2012-02-18T05:00Z,41.2,51.6
2012-02-19T05:00Z,39.8,47.8
2012-02-20T05:00Z,38.1,48.7
2012-02-21T05:00Z,37.1,49.7
2012-02-22T05:00Z,45.5,53.4
2012-02-23T05:00Z,50.6,54.1
2012-02-24T05:00Z,42.7,55.9
2012-02-25T05:00Z,42.6,51.7
2012-02-26T05:00Z,36.9,47.7
2012-02-27T05:00Z,40.9,45.4
2012-02-28T05:00Z,45.9,47
2012-02-29T05:00Z,40.7,49.8
2012-03-01T05:00Z,41.3,48.9
2012-03-02T05:00Z,36.8,48.1
2012-03-03T05:00Z,47.6,50.7
2012-03-04T05:00Z,44.2,55
2012-03-05T05:00Z,38.5,48.8
2012-03-06T05:00Z,32.9,48.4
2012-03-07T05:00Z,43.3,49.9
2012-03-08T05:00Z,51.2,49.2
2012-03-09T05:00Z,47.8,51.7
2012-03-10T05:00Z,37.2,49.3
2012-03-11T05:00Z,42.9,50
2012-03-12T04:00Z,48.8,48.6
2012-03-13T04:00Z,52.6,53.9
2012-03-14T04:00Z,60.5,55.2
2012-03-15T04:00Z,47.2,55.9
2012-03-16T04:00Z,44.7,54.6
2012-03-17T04:00Z,48.2,48.2
2012-03-18T04:00Z,48.2,47.1
2012-03-19T04:00Z,53.1,45.8
2012-03-20T04:00Z,57.8,49.7
2012-03-21T04:00Z,57.5,51.4
2012-03-22T04:00Z,57.3,51.4
2012-03-23T04:00Z,61.7,48.4
2012-03-24T04:00Z,55.8,49
2012-03-25T04:00Z,48.4,46.4
2012-03-26T04:00Z,49.8,49.7
2012-03-27T04:00Z,39.6,54.1
2012-03-28T04:00Z,49.7,54.6
2012-03-29T04:00Z,56.8,52.3
2012-03-30T04:00Z,46.5,54.5
2012-03-31T04:00Z,42.2,56.2
2012-04-01T04:00Z,45.3,51.1
2012-04-02T04:00Z,48.1,50.5
2012-04-03T04:00Z,51.2,52.2
2012-04-04T04:00Z,61,50.6
2012-04-05T04:00Z,50.7,47.9
2012-04-06T04:00Z,48,47.4
2012-04-07T04:00Z,51.1,49.4
2012-04-08T04:00Z,55.7,50
2012-04-09T04:00Z,58.3,51.3
2012-04-10T04:00Z,55,53.8
2012-04-11T04:00Z,49,52.9
2012-04-12T04:00Z,51.7,53.9
2012-04-13T04:00Z,53.1,50.2
2012-04-14T04:00Z,55.2,50.9
2012-04-15T04:00Z,62.3,51.5
2012-04-16T04:00Z,62.9,51.9
2012-04-17T04:00Z,69.3,53.2
2012-04-18T04:00Z,59,53
2012-04-19T04:00Z,54.1,55.1
2012-04-20T04:00Z,56.5,55.8
2012-04-21T04:00Z,58.2,58
2012-04-22T04:00Z,52.4,52.8
2012-04-23T04:00Z,51.6,55.1
2012-04-24T04:00Z,49.3,57.9
2012-04-25T04:00Z,52.5,57.5
2012-04-26T04:00Z,50.5,55.3
2012-04-27T04:00Z,51.9,53.5
2012-04-28T04:00Z,47.4,54.7
2012-04-29T04:00Z,54.1,54
2012-04-30T04:00Z,51.9,53.4
2012-05-01T04:00Z,57.4,52.7
2012-05-02T04:00Z,53.7,50.7
2012-05-03T04:00Z,53.1,52.6
2012-05-04T04:00Z,57.2,53.4
2012-05-05T04:00Z,57,53.1
2012-05-06T04:00Z,56.6,56.5
2012-05-07T04:00Z,54.6,55.3
2012-05-08T04:00Z,57.9,52
2012-05-09T04:00Z,59.2,52.4
2012-05-10T04:00Z,61.1,53.4
2012-05-11T04:00Z,59.7,53.1
2012-05-12T04:00Z,64.1,49.9
2012-05-13T04:00Z,65.3,52
2012-05-14T04:00Z,64.2,56
2012-05-15T04:00Z,62,53
2012-05-16T04:00Z,63.8,51
2012-05-17T04:00Z,64.5,51.4
2012-05-18T04:00Z,61,52.2
2012-05-19T04:00Z,62.6,52.4
2012-05-20T04:00Z,66.2,54.5
2012-05-21T04:00Z,62.7,52.8
2012-05-22T04:00Z,63.7,53.9
2012-05-23T04:00Z,66.4,56.5
2012-05-24T04:00Z,64.5,54.7
2012-05-25T04:00Z,65.4,52.5
2012-05-26T04:00Z,69.4,52.1
2012-05-27T04:00Z,71.9,52.2
2012-05-28T04:00Z,74.4,52.9
2012-05-29T04:00Z,75.9,52.1
2012-05-30T04:00Z,72.9,52.1
2012-05-31T04:00Z,72.5,53.3
2012-06-01T04:00Z,67.2,54.8
2012-06-02T04:00Z,68.3,54
2012-06-03T04:00Z,67.7,52.3
2012-06-04T04:00Z,61.9,55.3
2012-06-05T04:00Z,58.3,53.5
2012-06-06T04:00Z,61.7,54.1
2012-06-07T04:00Z,66.7,53.9
2012-06-08T04:00Z,68.7,54.4
2012-06-09T04:00Z,72.2,55
2012-06-10T04:00Z,72.6,60
2012-06-11T04:00Z,69.2,57.2
2012-06-12T04:00Z,66.9,55.1
2012-06-13T04:00Z,66.7,53.3
2012-06-14T04:00Z,67.7,53.4
2012-06-15T04:00Z,68.5,54.6
2012-06-16T04:00Z,67.5,57
2012-06-17T04:00Z,64.2,55.6
2012-06-18T04:00Z,61.7,52.5
2012-06-19T04:00Z,66.4,53.9
2012-06-20T04:00Z,77.9,55.3
2012-06-21T04:00Z,88.3,53.3
2012-06-22T04:00Z,82.2,54.1
2012-06-23T04:00Z,77,55.2
2012-06-24T04:00Z,75.4,55.8
2012-06-25T04:00Z,70.9,56.8
2012-06-26T04:00Z,65.9,57.5
2012-06-27T04:00Z,73.5,57.7
2012-06-28T04:00Z,77.4,56.6
2012-06-29T04:00Z,79.6,56.4
2012-06-30T04:00Z,84.2,58.4
2012-07-01T04:00Z,81.8,58.8
2012-07-02T04:00Z,82.5,56.4
2012-07-03T04:00Z,80.2,56.5
2012-07-04T04:00Z,77.8,55.8
2012-07-05T04:00Z,86.1,54.8
2012-07-06T04:00Z,79.9,54.9
2012-07-07T04:00Z,83.5,54.7
2012-07-08T04:00Z,81.5,52.8
2012-07-09T04:00Z,77.8,53.7
2012-07-10T04:00Z,76.1,53.1
2012-07-11T04:00Z,76.3,52.7
2012-07-12T04:00Z,75.8,52
2012-07-13T04:00Z,77.2,53.4
2012-07-14T04:00Z,79.3,54
2012-07-15T04:00Z,78.9,54
2012-07-16T04:00Z,79.6,54.5
2012-07-17T04:00Z,83.3,56.7
2012-07-18T04:00Z,84.3,57.5
2012-07-19T04:00Z,75.1,57.1
2012-07-20T04:00Z,68.4,58.1
2012-07-21T04:00Z,68.4,57.6
2012-07-22T04:00Z,72.2,56
2012-07-23T04:00Z,75.6,56.6
2012-07-24T04:00Z,82.6,57.8
2012-07-25T04:00Z,78.4,57.5
2012-07-26T04:00Z,77,56.4
2012-07-27T04:00Z,79.4,55.3
2012-07-28T04:00Z,77.4,55
2012-07-29T04:00Z,72.5,55.6
2012-07-30T04:00Z,72.9,55.6
2012-07-31T04:00Z,73.6,55.9
2012-08-01T04:00Z,75,55.4
2012-08-02T04:00Z,77.7,54.4
2012-08-03T04:00Z,79.7,53.7
2012-08-04T04:00Z,79.6,54.1
2012-08-05T04:00Z,81.5,57.8
2012-08-06T04:00Z,80,58.2
2012-08-07T04:00Z,75.7,58
2012-08-08T04:00Z,77.8,57
2012-08-09T04:00Z,78.6,55
2012-08-10T04:00Z,77.8,54.8
2012-08-11T04:00Z,78.5,53
2012-08-12T04:00Z,78.8,52.5
2012-08-13T04:00Z,78.6,53.3
2012-08-14T04:00Z,76.8,53.9
2012-08-15T04:00Z,76.7,56.2
2012-08-16T04:00Z,75.9,57.1
2012-08-17T04:00Z,77.6,55.3
2012-08-18T04:00Z,72.6,56.2
2012-08-19T04:00Z,70.4,54.3
2012-08-20T04:00Z,71.8,53.1
2012-08-21T04:00Z,73.6,53.4
2012-08-22T04:00Z,74.7,54.5
2012-08-23T04:00Z,74.6,55.7
2012-08-24T04:00Z,76,54.8
2012-08-25T04:00Z,76.2,53.8
2012-08-26T04:00Z,73.4,56.5
2012-08-27T04:00Z,74.6,58.3
2012-08-28T04:00Z,79.4,58.7
2012-08-29T04:00Z,74.7,57.5
2012-08-30T04:00Z,73.5,55.9
2012-08-31T04:00Z,77.9,55.4
2012-09-01T04:00Z,80.7,55.7
2012-09-02T04:00Z,75.1,53.1
2012-09-03T04:00Z,73.5,53.5
2012-09-04T04:00Z,73.5,52.5
2012-09-05T04:00Z,77.7,54.5
2012-09-06T04:00Z,74.2,56.3
2012-09-07T04:00Z,76,56.4
2012-09-08T04:00Z,77.1,56.5
2012-09-09T04:00Z,69.7,56.4
2012-09-10T04:00Z,67.8,55.4
2012-09-11T04:00Z,64,56.2
2012-09-12T04:00Z,68.1,55.7
2012-09-13T04:00Z,69.3,54.3
2012-09-14T04:00Z,70,55.2
2012-09-15T04:00Z,69.3,54.3
2012-09-16T04:00Z,66.3,52.9
2012-09-17T04:00Z,67,54.8
2012-09-18T04:00Z,72.8,54.8
2012-09-19T04:00Z,67.2,56.8
2012-09-20T04:00Z,62.1,55.4
2012-09-21T04:00Z,64,55.8
2012-09-22T04:00Z,65.5,55.9
2012-09-23T04:00Z,65.7,52.8
2012-09-24T04:00Z,60.4,54.5
2012-09-25T04:00Z,63.2,53.3
2012-09-26T04:00Z,68.5,53.6
2012-09-27T04:00Z,69.2,52.1
2012-09-28T04:00Z,68.7,52.6
2012-09-29T04:00Z,62.5,53.9
2012-09-30T04:00Z,62.3,55.1
