headline,year,date,source,phrase,date_parsed,month,month_year,month_year_parsed
REPUBLICANS: The Watergate Issue,1972,1972-08-28T00:00:00.000000000,Time,watergate,1972-08-28T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Kleindienst Vows Tough Watergate Case Probe: Thorough Watergate Probe Promised,1972,1972-08-29 00:00:00,WaPo,watergate,1972-08-29T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Kleindienst Vows Tough Watergate Case Probe: Thorough Watergate Probe Promised,1972,1972-08-29 00:00:00,WaPo,case,1972-08-29T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Kleindienst Vows Tough Watergate Case Probe: Thorough Watergate Probe Promised,1972,1972-08-29 00:00:00,WaPo,probe,1972-08-29T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Nixon Rejects Special Watergate Quiz: Nixon Rejects Plea for Watergate Bugging Prosecutor,1972,1972-08-30 00:00:00,WaPo,nixon,1972-08-30T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Nixon Rejects Special Watergate Quiz: Nixon Rejects Plea for Watergate Bugging Prosecutor,1972,1972-08-30 00:00:00,WaPo,watergate,1972-08-30T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Liddy's White House Patron,1972,1972-08-31 00:00:00,WaPo,house,1972-08-31T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Liddy's White House Patron,1972,1972-08-31 00:00:00,WaPo,white,1972-08-31T04:00Z,8,Aug 1972,1972-08-01T04:00Z
Liddy's White House Patron,1972,1972-08-31 00:00:00,WaPo,white house,1972-08-31T04:00Z,8,Aug 1972,1972-08-01T04:00Z
2 Held in Watergate Case Tied to Film of Party Data,1972,1972-09-01T05:00:00.000000000,NYT,watergate,1972-09-01T04:00Z,9,Sep 1972,1972-09-01T04:00Z
2 Held in Watergate Case Tied to Film of Party Data,1972,1972-09-01T05:00:00.000000000,NYT,case,1972-09-01T04:00Z,9,Sep 1972,1972-09-01T04:00Z
The Watergate Whitewash,1972,1972-09-02 00:00:00,WaPo,watergate,1972-09-02T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Mitchell Silent on 'Bugging': Not Involved At Watergate, He Asserts Mitchell Silent on Watergate",1972,1972-09-02 00:00:00,WaPo,mitchell,1972-09-02T04:00Z,9,Sep 1972,1972-09-01T04:00Z
A Questionable Appeal for Public Trust,1972,1972-09-03 00:00:00,WaPo,public,1972-09-03T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Nixon Aides Must Testify On Bugging: Mitchell, MacGregor Are Ordered to Testify",1972,1972-09-03 00:00:00,WaPo,aides,1972-09-03T04:00Z,9,Sep 1972,1972-09-01T04:00Z
INVESTIGATIONS: The Watergate Report,1972,1972-09-04T00:00:00.000000000,Time,watergate,1972-09-04T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Democrats Called In Watergate Case,1972,1972-09-06 00:00:00,WaPo,watergate,1972-09-06T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Wandering Funds' of GOP Now Topic for Banking Unit,1972,1972-09-07 00:00:00,WaPo,gop,1972-09-07T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Justice Completes Watergate Probe: Justice Completes Watergate Probe,1972,1972-09-09 00:00:00,WaPo,watergate,1972-09-09T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Watergate Inquiry Over, Sources Say",1972,1972-09-09T00:00:00.000000000,LAT,inquiry,1972-09-09T04:00Z,9,Sep 1972,1972-09-01T04:00Z
White House Toadies,1972,1972-09-10 00:00:00,WaPo,house,1972-09-10T04:00Z,9,Sep 1972,1972-09-01T04:00Z
GOP Aide Acts as M'Govern Informer: Gives Information for Democratic Bugging Charges GOP INFORMER,1972,1972-09-10T00:00:00.000000000,LAT,aide,1972-09-10T04:00Z,9,Sep 1972,1972-09-01T04:00Z
GOP Aide Acts as M'Govern Informer: Gives Information for Democratic Bugging Charges GOP INFORMER,1972,1972-09-10T00:00:00.000000000,LAT,gop,1972-09-10T04:00Z,9,Sep 1972,1972-09-01T04:00Z
MacGregor Says Nixon Aides Were Not Involved in Break‐In,1972,1972-09-11T05:00:00.000000000,NYT,nixon,1972-09-11T04:00Z,9,Sep 1972,1972-09-01T04:00Z
INVESTIGATIONS: The Watergate Roils On,1972,1972-09-11T00:00:00.000000000,Time,watergate,1972-09-11T04:00Z,9,Sep 1972,1972-09-01T04:00Z
MacGregor Says Nixon Aides Were Not Involved in Break‐In,1972,1972-09-11T05:00:00.000000000,NYT,says,1972-09-11T04:00Z,9,Sep 1972,1972-09-01T04:00Z
MacGregor Says Nixon Aides Were Not Involved in Break‐In,1972,1972-09-11T05:00:00.000000000,NYT,aides,1972-09-11T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Barker Admits Raid Role But Won't Involve Others,1972,1972-09-12T05:00:00.000000000,NYT,role,1972-09-12T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Head of Democratic Group Says G.O.P. Tapped Phone,1972,1972-09-13T05:00:00.000000000,NYT,says,1972-09-13T04:00Z,9,Sep 1972,1972-09-01T04:00Z
New 'Device' Found in Watergate Phone,1972,1972-09-14T00:00:00.000000000,LAT,watergate,1972-09-14T04:00Z,9,Sep 1972,1972-09-01T04:00Z
G.O.P. Countersuit Says O'Brien Is Abusing Court,1972,1972-09-14T05:00:00.000000000,NYT,says,1972-09-14T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Stans Files Watergate Libel Suit,1972,1972-09-15 00:00:00,WaPo,watergate,1972-09-15T04:00Z,9,Sep 1972,1972-09-01T04:00Z
7 INDICTED IN WATERGATE CAPER: JURY ACTS IN BUGGING BREAK-IN,1972,1972-09-15T00:00:00.000000000,LAT,watergate,1972-09-15T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Middle America Finds The Campaign Boring,1972,1972-09-15T05:00:00.000000000,NYT,campaign,1972-09-15T04:00Z,9,Sep 1972,1972-09-01T04:00Z
7 INDICTED IN WATERGATE CAPER: JURY ACTS IN BUGGING BREAK-IN,1972,1972-09-15T00:00:00.000000000,LAT,jury,1972-09-15T04:00Z,9,Sep 1972,1972-09-01T04:00Z
2 NIXON EX‐AIDES AMONG 7 INDICTED IN RAID IN CAPITAL,1972,1972-09-16T05:00:00.000000000,NYT,nixon,1972-09-16T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Jury Bares New Details Of Break-In: U.S. Jury Indicts Seven In Watergate Break-In,1972,1972-09-16 00:00:00,WaPo,watergate,1972-09-16T04:00Z,9,Sep 1972,1972-09-01T04:00Z
WATERGATE ECHOES AT WOLF TRAP: WATERGATE ECHOES AT WOLF TRAP,1972,1972-09-16 00:00:00,WaPo,watergate,1972-09-16T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Seven Indicted in Watergate Bugging: BUGGING,1972,1972-09-16T00:00:00.000000000,LAT,watergate,1972-09-16T04:00Z,9,Sep 1972,1972-09-01T04:00Z
White House Mystery,1972,1972-09-16T05:00:00.000000000,NYT,house,1972-09-16T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Jury Bares New Details Of Break-In: U.S. Jury Indicts Seven In Watergate Break-In,1972,1972-09-16 00:00:00,WaPo,jury,1972-09-16T04:00Z,9,Sep 1972,1972-09-01T04:00Z
McGovern Accuses Nixon Of Whitewash on Break‐In,1972,1972-09-17T05:00:00.000000000,NYT,nixon,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Spy Funds Linked to GOP Aides: Nixon Aides Linked to Party Spy Funds,1972,1972-09-17 00:00:00,WaPo,nixon,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Bugging Cash Reported Kept in Nixon Unit Safe: Sources Say Money Came From Secret, $300,000 Fund Run by Mitchell Aides",1972,1972-09-17T00:00:00.000000000,LAT,nixon,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
The Watergate Case,1972,1972-09-17T05:00:00.000000000,NYT,watergate,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Ex-FBI Agent Said to Be Data Source in Watergate Case: SOURCE,1972,1972-09-17T00:00:00.000000000,LAT,watergate,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
White House Aides Not First Indicted,1972,1972-09-17 00:00:00,WaPo,house,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
McGovern Calls Inquiry Whitewash: Says White House Ordered Coverup of Bugging Caper,1972,1972-09-17T00:00:00.000000000,LAT,house,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
McGovern Calls Inquiry Whitewash: Says White House Ordered Coverup of Bugging Caper,1972,1972-09-17T00:00:00.000000000,LAT,says,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
McGovern Calls Inquiry Whitewash: Says White House Ordered Coverup of Bugging Caper,1972,1972-09-17T00:00:00.000000000,LAT,white,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
McGovern Calls Inquiry Whitewash: Says White House Ordered Coverup of Bugging Caper,1972,1972-09-17T00:00:00.000000000,LAT,white house,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Ex‐F.B.I. Agent Named As Bugging Case Witness,1972,1972-09-17T05:00:00.000000000,NYT,case,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
McGovern Calls Inquiry Whitewash: Says White House Ordered Coverup of Bugging Caper,1972,1972-09-17T00:00:00.000000000,LAT,inquiry,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Spy Funds Linked to GOP Aides: Nixon Aides Linked to Party Spy Funds,1972,1972-09-17 00:00:00,WaPo,gop,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
McGovern Calls Probe 'Whitewash',1972,1972-09-17 00:00:00,WaPo,probe,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Bugging Cash Reported Kept in Nixon Unit Safe: Sources Say Money Came From Secret, $300,000 Fund Run by Mitchell Aides",1972,1972-09-17T00:00:00.000000000,LAT,mitchell,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Spy Funds Linked to GOP Aides: Nixon Aides Linked to Party Spy Funds,1972,1972-09-17 00:00:00,WaPo,aides,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
White House Aides Not First Indicted,1972,1972-09-17 00:00:00,WaPo,aides,1972-09-17T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Nixon Deserves Watergate Affair,1972,1972-09-18 00:00:00,WaPo,watergate,1972-09-18T04:00Z,9,Sep 1972,1972-09-01T04:00Z
INVESTIGATIONS: The Watergate Taps,1972,1972-09-18T00:00:00.000000000,Time,watergate,1972-09-18T04:00Z,9,Sep 1972,1972-09-01T04:00Z
2 Linked To Secret GOP Fund: 2 Linked to GOP Fund Used for Intelligence,1972,1972-09-18 00:00:00,WaPo,gop,1972-09-18T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Mrs. Nixon, on Her Own, Begins Campaign Swing",1972,1972-09-19T05:00:00.000000000,NYT,campaign,1972-09-19T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Special Prosecutor Sought in Bugging,1972,1972-09-19 00:00:00,WaPo,prosecutor,1972-09-19T04:00Z,9,Sep 1972,1972-09-01T04:00Z
AGNEW SAYS NIXON BADE F.B.I. LOOK INTO WHEAT SALES,1972,1972-09-20T05:00:00.000000000,NYT,nixon,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
AGNEW SAYS NIXON BADE F.B.I. LOOK INTO MEAT SALES,1972,1972-09-20T05:00:00.000000000,NYT,nixon,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Watergate Data Destruction Charged: Watergate Data Destruction Charged,1972,1972-09-20 00:00:00,WaPo,watergate,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
The Watergate Mystery Continues,1972,1972-09-20T00:00:00.000000000,LAT,watergate,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
AGNEW SAYS NIXON BADE F.B.I. LOOK INTO WHEAT SALES,1972,1972-09-20T05:00:00.000000000,NYT,says,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
AGNEW SAYS NIXON BADE F.B.I. LOOK INTO MEAT SALES,1972,1972-09-20T05:00:00.000000000,NYT,says,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Agnew Says FBI to Probe Wheat Sale to Russia: Democrats Trying to Use Soviet Deal as 'Another Watergate,' He Asserts WHEAT",1972,1972-09-20T00:00:00.000000000,LAT,says,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Agnew Says FBI to Probe Wheat Sale to Russia: Democrats Trying to Use Soviet Deal as 'Another Watergate,' He Asserts WHEAT",1972,1972-09-20T00:00:00.000000000,LAT,democrats,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"'WILD FANCY' THEORY: BREAK-IN A POLITICAL SETUP, AGNEW SAYS",1972,1972-09-20T00:00:00.000000000,LAT,political,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Agnew Says FBI to Probe Wheat Sale to Russia: Democrats Trying to Use Soviet Deal as 'Another Watergate,' He Asserts WHEAT",1972,1972-09-20T00:00:00.000000000,LAT,probe,1972-09-20T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Nixon Sets Grain Inquiry Step Laid to Agnew Error,1972,1972-09-21T05:00:00.000000000,NYT,inquiry,1972-09-21T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Trial of Watergate Suit Before Nov. 7 Held 'Impossible': Bugging Trial Start Seen After Election,1972,1972-09-22 00:00:00,WaPo,watergate,1972-09-22T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Judge Halts All Civil Proceedings Tied to Watergate Bugging Case,1972,1972-09-22T00:00:00.000000000,LAT,watergate,1972-09-22T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Trial of Watergate Suit Before Nov. 7 Held 'Impossible': Bugging Trial Start Seen After Election,1972,1972-09-22 00:00:00,WaPo,trial,1972-09-22T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Grand Jury Quizzed Both Mitchell, Stans",1972,1972-09-22 00:00:00,WaPo,jury,1972-09-22T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Mitchell Linked to Watergate Spying,1972,1972-09-23 00:00:00,WaPo,watergate,1972-09-23T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Kleindienst on the Watergate Case,1972,1972-09-24 00:00:00,WaPo,watergate,1972-09-24T04:00Z,9,Sep 1972,1972-09-01T04:00Z
"Watergate May Remain A Mystery: Bugging Remains Mystery, Aide Says",1972,1972-09-24 00:00:00,WaPo,aide,1972-09-24T04:00Z,9,Sep 1972,1972-09-01T04:00Z
PARTY HEADS DEBATE WATERGATE IMPACT,1972,1972-09-25T05:00:00.000000000,NYT,watergate,1972-09-25T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Comment on the Watergate Case,1972,1972-09-26 00:00:00,WaPo,watergate,1972-09-26T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Banking Panel to Vote on Watergate Probe,1972,1972-09-26 00:00:00,WaPo,watergate,1972-09-26T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Banking Panel to Vote on Watergate Probe,1972,1972-09-26 00:00:00,WaPo,panel,1972-09-26T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Bugging Suspect Investigated Writer: Writer Target Of GOP Probe,1972,1972-09-27 00:00:00,WaPo,gop,1972-09-27T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Watergate Trial Is Delayed,1972,1972-09-28 00:00:00,WaPo,trial,1972-09-28T04:00Z,9,Sep 1972,1972-09-01T04:00Z
SUSPECT IN BUGGING CASE: EX-NIXON AIDE TIED TO ANDERSON INQUIRY,1972,1972-09-28T00:00:00.000000000,LAT,aide,1972-09-28T04:00Z,9,Sep 1972,1972-09-01T04:00Z
EX‐AGENT COMMENTS ON WATERGATE CASE,1972,1972-09-29T05:00:00.000000000,NYT,watergate,1972-09-29T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Mitchell Controlled Secret GOP Fund: Mitchell Controlled Secret GOP Fund,1972,1972-09-29 00:00:00,WaPo,gop,1972-09-29T04:00Z,9,Sep 1972,1972-09-01T04:00Z
Mitchell Controlled Secret GOP Fund: Mitchell Controlled Secret GOP Fund,1972,1972-09-29 00:00:00,WaPo,mitchell,1972-09-29T04:00Z,9,Sep 1972,1972-09-01T04:00Z
GOP Opposition Perils House Watergate Probe: GOP Moves to Delay Probe Of 'Bug' Case After Nov. 7,1972,1972-09-30 00:00:00,WaPo,watergate,1972-09-30T04:00Z,9,Sep 1972,1972-09-01T04:00Z
'Questions About the Watergate Bugging',1972,1972-09-30T00:00:00.000000000,LAT,watergate,1972-09-30T04:00Z,9,Sep 1972,1972-09-01T04:00Z
GOP Opposition Perils House Watergate Probe: GOP Moves to Delay Probe Of 'Bug' Case After Nov. 7,1972,1972-09-30 00:00:00,WaPo,house,1972-09-30T04:00Z,9,Sep 1972,1972-09-01T04:00Z
GOP Opposition Perils House Watergate Probe: GOP Moves to Delay Probe Of 'Bug' Case After Nov. 7,1972,1972-09-30 00:00:00,WaPo,case,1972-09-30T04:00Z,9,Sep 1972,1972-09-01T04:00Z
GOP Opposition Perils House Watergate Probe: GOP Moves to Delay Probe Of 'Bug' Case After Nov. 7,1972,1972-09-30 00:00:00,WaPo,gop,1972-09-30T04:00Z,9,Sep 1972,1972-09-01T04:00Z
GOP Opposition Perils House Watergate Probe: GOP Moves to Delay Probe Of 'Bug' Case After Nov. 7,1972,1972-09-30 00:00:00,WaPo,probe,1972-09-30T04:00Z,9,Sep 1972,1972-09-01T04:00Z
F.B.I. Chief Denies Nixon Uses Deceit In Break‐In Inquiry,1972,1972-10-03T05:00:00.000000000,NYT,nixon,1972-10-03T04:00Z,10,Oct 1972,1972-10-01T04:00Z
Hill Probe of Watergate Scored,1972,1972-10-03 00:00:00,WaPo,watergate,1972-10-03T04:00Z,10,Oct 1972,1972-10-01T04:00Z
Hill Probe of Watergate Scored,1972,1972-10-03 00:00:00,WaPo,probe,1972-10-03T04:00Z,10,Oct 1972,1972-10-01T04:00Z
WATERGATE PROBE VOTED DOWN: BOTH PARTIES ARE CRITICAL OF PROPOSAL,1972,1972-10-03T00:00:00.000000000,LAT,probe,1972-10-03T04:00Z,10,Oct 1972,1972-10-01T04:00Z
